,SOURCE_ID,teff_gspphot,lum_flame,age_flame,mass_flame,radius_flame,evolstage_flame,flags_flame
84,5253649042089828736,5053.3506,0.14399953,,,0.49838743,,21
85,5253649042090247936,5138.1,0.16390832,,,0.5114797,,21
86,5253749578679975296,4644.6104,0.06987438,,,0.41177562,,21
87,5253749582979591936,5153.6826,0.16959777,,,0.5161942,,21
88,6030030626420552704,4319.6587,0.051349424,,,0.4060186,,21
89,6030030626446067712,4309.102,0.10921463,3.1031063,0.6705798,0.59555674,224,00
90,6030030626446082560,4499.5234,0.06202765,,,0.4232699,,21
91,6030030630793095936,4660.249,0.06804694,,,0.39923579,,21
92,5961413374264862208,5099.4697,0.5334269,11.772422,0.84004545,0.94815254,348,00
93,5961413374264870656,4367.9736,0.22627743,0.9400077,0.6801629,0.8271338,373,01
94,5253692133540966912,4830.1904,4.115171,10.1530285,1.0407104,2.9008267,608,11
95,5253692133540978432,4440.863,0.062183872,,,0.42103583,,21
96,5253692163560704000,4214.6367,0.1987907,,0.73332494,0.8413218,330,00
97,5253692163561609088,3884.8696,0.080548175,11.643473,0.5717658,0.6316679,273,01
98,5253692163564019072,4705.1665,0.19839059,1.3850511,0.75499886,0.6840482,123,01
99,6030113643924734208,5588.821,0.29739872,,,0.6045201,,21
100,6030113643924743168,5692.448,0.8569658,3.4260674,0.99274415,0.9470106,215,00
101,6030113673906728192,4816.0483,0.2061076,1.9141878,0.7762372,0.6607518,129,01
102,6030113673906745856,5139.299,0.12346514,,,0.478622,,21
103,6030113673906758400,5503.246,0.8938227,10.020511,0.8998678,1.0450302,353,00
104,6030113673925420288,4641.1694,0.0745704,,,0.4312549,,21
105,5961527826566849664,4888.771,70.13856,0.45441204,2.802538,11.809001,521,11
106,5961527826566857344,5073.896,2.1090808,,0.9510225,1.8997213,481,00
107,5961527826566858240,4893.486,1.9200729,,0.94944674,1.9193041,461,01
108,5961527826566862336,4616.2793,109.006714,0.3456436,3.1024332,16.888884,536,12
109,5961527856547373056,4828.711,1.7677344,,0.94686735,1.8990501,458,01
110,5961527856547392384,4801.0415,0.75610715,,,1.254702,357,20
111,5961527856547393792,4471.3364,0.29127884,,,0.90598196,403,21
112,5253603141771450496,5219.9478,0.15757446,,,0.4981983,,21
113,5253603141771459072,5147.79,0.16121253,,,0.5068404,,21
114,5253603141809923840,5796.8164,4.5813913,4.180093,1.2801082,2.1356735,434,00
115,5253603141809926144,6065.8447,0.7973448,,,0.8107413,,21
116,5253603141809927936,6113.2856,0.86381924,,,0.83673006,,21
117,5253603141809931008,4349.7515,0.20573425,13.1344795,0.71662605,0.80004776,412,01
118,5253603141809931648,6788.5137,4.4347687,1.4670264,1.3874938,1.5217695,200,00
119,5253603141809931776,5251.3633,0.14685734,,,0.48553622,,21
120,5961501914951050496,4741.0703,1085.1036,0.4179526,2.8853893,46.98807,966,12
121,5961501914951053440,4536.4126,0.3052522,,,0.9006768,411,21
122,5961501914951063296,4835.8047,0.48443508,,,0.9854892,424,21
123,5961501914951070976,4944.222,0.24739143,,,0.6773819,,21
124,5961501914951937536,4704.619,0.1555099,,,0.6044101,,21
125,5961457354732759168,9114.623,29.015537,0.47462535,2.1680567,2.1837542,205,00
